ts,"Ithaca, NY, United States Heating Degree Days","Ithaca, NY, United States Cooling Degree Days"
2024-01-01T00:00:00-05:00 New_York,31.958333333333336,0
2024-01-02T00:00:00-05:00 New_York,35.16666666666667,0
2024-01-03T00:00:00-05:00 New_York,31.083333333333336,0
2024-01-04T00:00:00-05:00 New_York,37.20833333333333,0
2024-01-05T00:00:00-05:00 New_York,39.29166666666667,0
2024-01-06T00:00:00-05:00 New_York,36.70833333333333,0
2024-01-07T00:00:00-05:00 New_York,34.75,0
2024-01-08T00:00:00-05:00 New_York,39.79166666666667,0
2024-01-09T00:00:00-05:00 New_York,35.33333333333333,0
2024-01-10T00:00:00-05:00 New_York,28.041666666666664,0
2024-01-11T00:00:00-05:00 New_York,30.291666666666664,0
2024-01-12T00:00:00-05:00 New_York,31.333333333333336,0
2024-01-13T00:00:00-05:00 New_York,32.583333333333336,0
2024-01-14T00:00:00-05:00 New_York,43.20833333333333,0
2024-01-15T00:00:00-05:00 New_York,47.83333333333333,0
2024-01-16T00:00:00-05:00 New_York,45.5,0
2024-01-17T00:00:00-05:00 New_York,50.375,0
2024-01-18T00:00:00-05:00 New_York,42.79166666666667,0
2024-01-19T00:00:00-05:00 New_York,44.04166666666667,0
2024-01-20T00:00:00-05:00 New_York,51.833333333333336,0
2024-01-21T00:00:00-05:00 New_York,50.25,0
2024-01-22T00:00:00-05:00 New_York,45.04166666666667,0
2024-01-23T00:00:00-05:00 New_York,32.791666666666664,0
2024-01-24T00:00:00-05:00 New_York,34.29166666666667,0
2024-01-25T00:00:00-05:00 New_York,32.041666666666664,0
2024-01-26T00:00:00-05:00 New_York,27.75,0
2024-01-27T00:00:00-05:00 New_York,29.208333333333336,0
2024-01-28T00:00:00-05:00 New_York,32,0
2024-01-29T00:00:00-05:00 New_York,35.79166666666667,0
2024-01-30T00:00:00-05:00 New_York,36.66666666666667,0
2024-01-31T00:00:00-05:00 New_York,33.08333333333333,0
2024-02-01T00:00:00-05:00 New_York,29,0
2024-02-02T00:00:00-05:00 New_York,32.333333333333336,0
2024-02-03T00:00:00-05:00 New_York,35.91666666666667,0
2024-02-04T00:00:00-05:00 New_York,36.58333333333333,0
2024-02-05T00:00:00-05:00 New_York,36.04166666666667,0
2024-02-06T00:00:00-05:00 New_York,36.91666666666667,0
2024-02-07T00:00:00-05:00 New_York,34.33333333333333,0
2024-02-08T00:00:00-05:00 New_York,31.583333333333336,0
2024-02-09T00:00:00-05:00 New_York,24.291666666666664,0
2024-02-10T00:00:00-05:00 New_York,19.541666666666664,0
2024-02-11T00:00:00-05:00 New_York,28.458333333333336,0
2024-02-12T00:00:00-05:00 New_York,30.5,0
2024-02-13T00:00:00-05:00 New_York,35.33333333333333,0
2024-02-14T00:00:00-05:00 New_York,39.95833333333333,0
2024-02-15T00:00:00-05:00 New_York,36.08333333333333,0
2024-02-16T00:00:00-05:00 New_York,35.70833333333333,0
2024-02-17T00:00:00-05:00 New_York,40.5,0
2024-02-18T00:00:00-05:00 New_York,39.375,0
2024-02-19T00:00:00-05:00 New_York,39.66666666666667,0
2024-02-20T00:00:00-05:00 New_York,41.625,0
2024-02-21T00:00:00-05:00 New_York,33,0
2024-02-22T00:00:00-05:00 New_York,29.875,0
2024-02-23T00:00:00-05:00 New_York,26.625,0
2024-02-24T00:00:00-05:00 New_York,42.58333333333333,0
2024-02-25T00:00:00-05:00 New_York,36.79166666666667,0
2024-02-26T00:00:00-05:00 New_York,27.375,0
2024-02-27T00:00:00-05:00 New_York,19.208333333333336,0
2024-02-28T00:00:00-05:00 New_York,17.208333333333336,0
2024-02-29T00:00:00-05:00 New_York,38.91666666666667,0
2024-03-01T00:00:00-05:00 New_York,33.41666666666667,0
2024-03-02T00:00:00-05:00 New_York,27.958333333333336,0
2024-03-03T00:00:00-05:00 New_York,20.958333333333336,0
2024-03-04T00:00:00-05:00 New_York,16.791666666666664,0
2024-03-05T00:00:00-05:00 New_York,16.291666666666664,0
2024-03-06T00:00:00-05:00 New_York,19.75,0
2024-03-07T00:00:00-05:00 New_York,26.083333333333336,0
2024-03-08T00:00:00-05:00 New_York,24.708333333333336,0
2024-03-09T00:00:00-05:00 New_York,21.083333333333336,0
2024-03-10T00:00:00-05:00 New_York,30.043478260869563,0
2024-03-11T00:00:00-04:00 New_York,31.791666666666664,0
2024-03-12T00:00:00-04:00 New_York,23.416666666666664,0
2024-03-13T00:00:00-04:00 New_York,18.166666666666664,0
2024-03-14T00:00:00-04:00 New_York,14.583333333333336,0
2024-03-15T00:00:00-04:00 New_York,18.416666666666664,0
2024-03-16T00:00:00-04:00 New_York,22.666666666666664,0
2024-03-17T00:00:00-04:00 New_York,23.666666666666664,0
2024-03-18T00:00:00-04:00 New_York,32.208333333333336,0
2024-03-19T00:00:00-04:00 New_York,33.66666666666667,0
2024-03-20T00:00:00-04:00 New_York,32.541666666666664,0
2024-03-21T00:00:00-04:00 New_York,41.5,0
2024-03-22T00:00:00-04:00 New_York,37.79166666666667,0
2024-03-23T00:00:00-04:00 New_York,32.416666666666664,0
2024-03-24T00:00:00-04:00 New_York,43.54166666666667,0
2024-03-25T00:00:00-04:00 New_York,39.45833333333333,0
2024-03-26T00:00:00-04:00 New_York,26.083333333333336,0
2024-03-27T00:00:00-04:00 New_York,17,0
2024-03-28T00:00:00-04:00 New_York,23.5,0
2024-03-29T00:00:00-04:00 New_York,29.666666666666664,0
2024-03-30T00:00:00-04:00 New_York,26.541666666666664,0
2024-03-31T00:00:00-04:00 New_York,23.916666666666664,0
2024-04-01T00:00:00-04:00 New_York,24.541666666666664,0
2024-04-02T00:00:00-04:00 New_York,21.5,0
2024-04-03T00:00:00-04:00 New_York,24.125,0
2024-04-04T00:00:00-04:00 New_York,30.333333333333336,0
2024-04-05T00:00:00-04:00 New_York,30.208333333333336,0
2024-04-06T00:00:00-04:00 New_York,28.083333333333336,0
2024-04-07T00:00:00-04:00 New_York,28.333333333333336,0
2024-04-08T00:00:00-04:00 New_York,21.75,0
2024-04-09T00:00:00-04:00 New_York,12.083333333333336,0
2024-04-10T00:00:00-04:00 New_York,11.25,0
2024-04-11T00:00:00-04:00 New_York,9.125,0
2024-04-12T00:00:00-04:00 New_York,14.041666666666664,0
2024-04-13T00:00:00-04:00 New_York,26.5,0
2024-04-14T00:00:00-04:00 New_York,17.583333333333336,0
2024-04-15T00:00:00-04:00 New_York,19.166666666666664,0
2024-04-16T00:00:00-04:00 New_York,20.583333333333336,0
2024-04-17T00:00:00-04:00 New_York,20.708333333333336,0
2024-04-18T00:00:00-04:00 New_York,15.666666666666664,0
2024-04-19T00:00:00-04:00 New_York,16.625,0
2024-04-20T00:00:00-04:00 New_York,23.916666666666664,0
2024-04-21T00:00:00-04:00 New_York,25.416666666666664,0
2024-04-22T00:00:00-04:00 New_York,26.75,0
2024-04-23T00:00:00-04:00 New_York,20,0
2024-04-24T00:00:00-04:00 New_York,24.875,0
2024-04-25T00:00:00-04:00 New_York,29.875,0
2024-04-26T00:00:00-04:00 New_York,24.416666666666664,0
2024-04-27T00:00:00-04:00 New_York,19.041666666666664,0
2024-04-28T00:00:00-04:00 New_York,5.75,0
2024-04-29T00:00:00-04:00 New_York,2.375,0
2024-04-30T00:00:00-04:00 New_York,2.8333333333333357,0
2024-05-01T00:00:00-04:00 New_York,8.208333333333336,0
2024-05-02T00:00:00-04:00 New_York,10.708333333333336,0
2024-05-03T00:00:00-04:00 New_York,8.291666666666664,0
2024-05-04T00:00:00-04:00 New_York,14.125,0
2024-05-05T00:00:00-04:00 New_York,14.916666666666664,0
2024-05-06T00:00:00-04:00 New_York,8.875,0
2024-05-07T00:00:00-04:00 New_York,8.875,0
2024-05-08T00:00:00-04:00 New_York,2.0833333333333357,0
2024-05-09T00:00:00-04:00 New_York,14.375,0
2024-05-10T00:00:00-04:00 New_York,18.5,0
2024-05-11T00:00:00-04:00 New_York,18.25,0
2024-05-12T00:00:00-04:00 New_York,17.166666666666664,0
2024-05-13T00:00:00-04:00 New_York,13.166666666666664,0
2024-05-14T00:00:00-04:00 New_York,8.666666666666664,0
2024-05-15T00:00:00-04:00 New_York,7.75,0
2024-05-16T00:00:00-04:00 New_York,4.875,0
2024-05-17T00:00:00-04:00 New_York,6.291666666666664,0
2024-05-18T00:00:00-04:00 New_York,3.625,0
2024-05-19T00:00:00-04:00 New_York,2.5,0
2024-05-20T00:00:00-04:00 New_York,0,0.041666666666671404
2024-05-21T00:00:00-04:00 New_York,0,2.4583333333333286
2024-05-22T00:00:00-04:00 New_York,0,1.75
2024-05-23T00:00:00-04:00 New_York,2,0
2024-05-24T00:00:00-04:00 New_York,5.625,0
2024-05-25T00:00:00-04:00 New_York,3.125,0
2024-05-26T00:00:00-04:00 New_York,1.7083333333333357,0
2024-05-27T00:00:00-04:00 New_York,3.3333333333333357,0
2024-05-28T00:00:00-04:00 New_York,3.5416666666666643,0
2024-05-29T00:00:00-04:00 New_York,12.416666666666664,0
2024-05-30T00:00:00-04:00 New_York,14.458333333333336,0
2024-05-31T00:00:00-04:00 New_York,13.166666666666664,0
2024-06-01T00:00:00-04:00 New_York,7.916666666666664,0
2024-06-02T00:00:00-04:00 New_York,5.291666666666664,0
2024-06-03T00:00:00-04:00 New_York,2.125,0
2024-06-04T00:00:00-04:00 New_York,0,1.3333333333333286
2024-06-05T00:00:00-04:00 New_York,0,2.0416666666666714
2024-06-06T00:00:00-04:00 New_York,0,1.0833333333333286
2024-06-07T00:00:00-04:00 New_York,9.625,0
2024-06-08T00:00:00-04:00 New_York,6.291666666666664,0
2024-06-09T00:00:00-04:00 New_York,6.916666666666664,0
2024-06-10T00:00:00-04:00 New_York,13.25,0
2024-06-11T00:00:00-04:00 New_York,8.958333333333336,0
2024-06-12T00:00:00-04:00 New_York,5.291666666666664,0
2024-06-13T00:00:00-04:00 New_York,0.875,0
2024-06-14T00:00:00-04:00 New_York,3.6666666666666643,0
2024-06-15T00:00:00-04:00 New_York,7.291666666666664,0
2024-06-16T00:00:00-04:00 New_York,6.333333333333336,0
2024-06-17T00:00:00-04:00 New_York,0,6.375
2024-06-18T00:00:00-04:00 New_York,0,9.25
2024-06-19T00:00:00-04:00 New_York,0,10.041666666666671
2024-06-20T00:00:00-04:00 New_York,0,8.166666666666671
2024-06-21T00:00:00-04:00 New_York,0,7.541666666666671
2024-06-22T00:00:00-04:00 New_York,0,8.25
2024-06-23T00:00:00-04:00 New_York,0,6.833333333333329
2024-06-24T00:00:00-04:00 New_York,3.6666666666666643,0
2024-06-25T00:00:00-04:00 New_York,0,0.125
2024-06-26T00:00:00-04:00 New_York,0,0.7083333333333286
2024-06-27T00:00:00-04:00 New_York,3.2916666666666643,0
2024-06-28T00:00:00-04:00 New_York,4.458333333333336,0
2024-06-29T00:00:00-04:00 New_York,0,1.125
2024-06-30T00:00:00-04:00 New_York,0,1.6666666666666714
2024-07-01T00:00:00-04:00 New_York,6.708333333333336,0
2024-07-02T00:00:00-04:00 New_York,3.7916666666666643,0
2024-07-03T00:00:00-04:00 New_York,0,4.25
2024-07-04T00:00:00-04:00 New_York,0,6.583333333333329
2024-07-05T00:00:00-04:00 New_York,0,6.958333333333329
2024-07-06T00:00:00-04:00 New_York,0,6.5
2024-07-07T00:00:00-04:00 New_York,0,2.0416666666666714
2024-07-08T00:00:00-04:00 New_York,0,6.625
2024-07-09T00:00:00-04:00 New_York,0,7.833333333333329
2024-07-10T00:00:00-04:00 New_York,0,5.916666666666671
2024-07-11T00:00:00-04:00 New_York,0,2.875
2024-07-12T00:00:00-04:00 New_York,0,2.625
2024-07-13T00:00:00-04:00 New_York,0,5.458333333333329
2024-07-14T00:00:00-04:00 New_York,0,6.75
2024-07-15T00:00:00-04:00 New_York,0,6.958333333333329
2024-07-16T00:00:00-04:00 New_York,0,5
2024-07-17T00:00:00-04:00 New_York,0,3.4583333333333286
2024-07-18T00:00:00-04:00 New_York,3.8333333333333357,0
2024-07-19T00:00:00-04:00 New_York,2.5416666666666643,0
2024-07-20T00:00:00-04:00 New_York,0,0.1666666666666714
2024-07-21T00:00:00-04:00 New_York,0,0.5833333333333286
2024-07-22T00:00:00-04:00 New_York,0,0.375
2024-07-23T00:00:00-04:00 New_York,0,5.458333333333329
2024-07-24T00:00:00-04:00 New_York,0,1.3333333333333286
2024-07-25T00:00:00-04:00 New_York,0.5833333333333286,0
2024-07-26T00:00:00-04:00 New_York,2.7916666666666643,0
2024-07-27T00:00:00-04:00 New_York,0.8333333333333286,0
2024-07-28T00:00:00-04:00 New_York,0,3.3333333333333286
2024-07-29T00:00:00-04:00 New_York,0,5.083333333333329
2024-07-30T00:00:00-04:00 New_York,0,6.583333333333329
2024-07-31T00:00:00-04:00 New_York,0,4.875
2024-08-01T00:00:00-04:00 New_York,0,2.9583333333333286
2024-08-02T00:00:00-04:00 New_York,0,6.875
2024-08-03T00:00:00-04:00 New_York,0,4.291666666666671
2024-08-04T00:00:00-04:00 New_York,0,5.958333333333329
2024-08-05T00:00:00-04:00 New_York,0,2.875
2024-08-06T00:00:00-04:00 New_York,1.375,0
2024-08-07T00:00:00-04:00 New_York,4.875,0
2024-08-08T00:00:00-04:00 New_York,1.3333333333333357,0
2024-08-09T00:00:00-04:00 New_York,0,3.6666666666666714
2024-08-10T00:00:00-04:00 New_York,3.375,0
2024-08-11T00:00:00-04:00 New_York,4.583333333333336,0
2024-08-12T00:00:00-04:00 New_York,5.791666666666664,0
2024-08-13T00:00:00-04:00 New_York,5.125,0
2024-08-14T00:00:00-04:00 New_York,2.0833333333333357,0
2024-08-15T00:00:00-04:00 New_York,0,0.8333333333333286
2024-08-16T00:00:00-04:00 New_York,0,2.4583333333333286
2024-08-17T00:00:00-04:00 New_York,0,2.8333333333333286
2024-08-18T00:00:00-04:00 New_York,0.2916666666666714,0
2024-08-19T00:00:00-04:00 New_York,5.625,0
2024-08-20T00:00:00-04:00 New_York,14.458333333333336,0
2024-08-21T00:00:00-04:00 New_York,13.375,0
2024-08-22T00:00:00-04:00 New_York,9.833333333333336,0
2024-08-23T00:00:00-04:00 New_York,5.416666666666664,0
2024-08-24T00:00:00-04:00 New_York,2.1666666666666643,0
2024-08-25T00:00:00-04:00 New_York,0,0.5416666666666714
2024-08-26T00:00:00-04:00 New_York,0,1.125
2024-08-27T00:00:00-04:00 New_York,0,3.9583333333333286
2024-08-28T00:00:00-04:00 New_York,0,4.916666666666671
2024-08-29T00:00:00-04:00 New_York,3.875,0
2024-08-30T00:00:00-04:00 New_York,0,2.4583333333333286
2024-08-31T00:00:00-04:00 New_York,0,2.25
2024-09-01T00:00:00-04:00 New_York,0.375,0
2024-09-02T00:00:00-04:00 New_York,11.75,0
2024-09-03T00:00:00-04:00 New_York,11.583333333333336,0
2024-09-04T00:00:00-04:00 New_York,7.416666666666664,0
2024-09-05T00:00:00-04:00 New_York,6.208333333333336,0
2024-09-06T00:00:00-04:00 New_York,3.4166666666666643,0
2024-09-07T00:00:00-04:00 New_York,9.208333333333336,0
2024-09-08T00:00:00-04:00 New_York,15.625,0
2024-09-09T00:00:00-04:00 New_York,10.708333333333336,0
2024-09-10T00:00:00-04:00 New_York,7.625,0
2024-09-11T00:00:00-04:00 New_York,5.5,0
2024-09-12T00:00:00-04:00 New_York,1,0
2024-09-13T00:00:00-04:00 New_York,0,0.0833333333333286
2024-09-14T00:00:00-04:00 New_York,0,0.7916666666666714
2024-09-15T00:00:00-04:00 New_York,0,1.7083333333333286
2024-09-16T00:00:00-04:00 New_York,0.75,0
2024-09-17T00:00:00-04:00 New_York,2.3333333333333357,0
2024-09-18T00:00:00-04:00 New_York,3.5416666666666643,0
2024-09-19T00:00:00-04:00 New_York,2.5833333333333357,0
2024-09-20T00:00:00-04:00 New_York,1,0
2024-09-21T00:00:00-04:00 New_York,1.5416666666666643,0
2024-09-22T00:00:00-04:00 New_York,2.5,0
2024-09-23T00:00:00-04:00 New_York,7.541666666666664,0
2024-09-24T00:00:00-04:00 New_York,5.666666666666664,0
2024-09-25T00:00:00-04:00 New_York,2.4583333333333357,0
2024-09-26T00:00:00-04:00 New_York,1.9166666666666643,0
2024-09-27T00:00:00-04:00 New_York,6.708333333333336,0
2024-09-28T00:00:00-04:00 New_York,2.25,0
2024-09-29T00:00:00-04:00 New_York,2.1666666666666643,0
2024-09-30T00:00:00-04:00 New_York,4.75,0
2024-10-01T00:00:00-04:00 New_York,10.208333333333336,0
2024-10-02T00:00:00-04:00 New_York,6.875,0
2024-10-03T00:00:00-04:00 New_York,9,0
2024-10-04T00:00:00-04:00 New_York,5.625,0
2024-10-05T00:00:00-04:00 New_York,11.916666666666664,0
2024-10-06T00:00:00-04:00 New_York,14.625,0
2024-10-07T00:00:00-04:00 New_York,10.666666666666664,0
2024-10-08T00:00:00-04:00 New_York,13.5,0
2024-10-09T00:00:00-04:00 New_York,17.208333333333336,0
2024-10-10T00:00:00-04:00 New_York,19.958333333333336,0
2024-10-11T00:00:00-04:00 New_York,13.125,0
2024-10-12T00:00:00-04:00 New_York,10.708333333333336,0
2024-10-13T00:00:00-04:00 New_York,21.875,0
2024-10-14T00:00:00-04:00 New_York,24.041666666666664,0
2024-10-15T00:00:00-04:00 New_York,22.833333333333336,0
2024-10-16T00:00:00-04:00 New_York,21.666666666666664,0
2024-10-17T00:00:00-04:00 New_York,22.708333333333336,0
2024-10-18T00:00:00-04:00 New_York,24.458333333333336,0
2024-10-19T00:00:00-04:00 New_York,21.416666666666664,0
2024-10-20T00:00:00-04:00 New_York,16.916666666666664,0
2024-10-21T00:00:00-04:00 New_York,4.375,0
2024-10-22T00:00:00-04:00 New_York,2.1666666666666643,0
2024-10-23T00:00:00-04:00 New_York,3.8333333333333357,0
2024-10-24T00:00:00-04:00 New_York,21.083333333333336,0
2024-10-25T00:00:00-04:00 New_York,24.125,0
2024-10-26T00:00:00-04:00 New_York,15.458333333333336,0
2024-10-27T00:00:00-04:00 New_York,27.791666666666664,0
2024-10-28T00:00:00-04:00 New_York,22.25,0
2024-10-29T00:00:00-04:00 New_York,17.166666666666664,0
2024-10-30T00:00:00-04:00 New_York,8.541666666666664,0
2024-10-31T00:00:00-04:00 New_York,3.1666666666666643,0
2024-11-01T00:00:00-04:00 New_York,14.791666666666664,0
2024-11-02T00:00:00-04:00 New_York,28.916666666666664,0
2024-11-03T00:00:00-04:00 New_York,28.041666666666664,0
2024-11-04T00:00:00-05:00 New_York,22.083333333333336,0
2024-11-05T00:00:00-05:00 New_York,9.5,0
2024-11-06T00:00:00-05:00 New_York,5.875,0
2024-11-07T00:00:00-05:00 New_York,14.583333333333336,0
2024-11-08T00:00:00-05:00 New_York,20.25,0
2024-11-09T00:00:00-05:00 New_York,27.25,0
2024-11-10T00:00:00-05:00 New_York,25.708333333333336,0
2024-11-11T00:00:00-05:00 New_York,15.166666666666664,0
2024-11-12T00:00:00-05:00 New_York,26.708333333333336,0
2024-11-13T00:00:00-05:00 New_York,32.208333333333336,0
2024-11-14T00:00:00-05:00 New_York,29.416666666666664,0
2024-11-15T00:00:00-05:00 New_York,27.5,0
2024-11-16T00:00:00-05:00 New_York,25.666666666666664,0
2024-11-17T00:00:00-05:00 New_York,22.291666666666664,0
2024-11-18T00:00:00-05:00 New_York,20.333333333333336,0
2024-11-19T00:00:00-05:00 New_York,25.666666666666664,0
2024-11-20T00:00:00-05:00 New_York,17.25,0
2024-11-21T00:00:00-05:00 New_York,22.458333333333336,0
2024-11-22T00:00:00-05:00 New_York,29,0
2024-11-23T00:00:00-05:00 New_York,27.75,0
2024-11-24T00:00:00-05:00 New_York,25.333333333333336,0
2024-11-25T00:00:00-05:00 New_York,24.416666666666664,0
2024-11-26T00:00:00-05:00 New_York,21.125,0
2024-11-27T00:00:00-05:00 New_York,27.25,0
2024-11-28T00:00:00-05:00 New_York,28.416666666666664,0
2024-11-29T00:00:00-05:00 New_York,33.75,0
2024-11-30T00:00:00-05:00 New_York,37.625,0
2024-12-01T00:00:00-05:00 New_York,38.75,0
2024-12-02T00:00:00-05:00 New_York,36.95833333333333,0
2024-12-03T00:00:00-05:00 New_York,35.58333333333333,0
2024-12-04T00:00:00-05:00 New_York,36.29166666666667,0
2024-12-05T00:00:00-05:00 New_York,34.91666666666667,0
2024-12-06T00:00:00-05:00 New_York,40.29166666666667,0
2024-12-07T00:00:00-05:00 New_York,38.79166666666667,0
2024-12-08T00:00:00-05:00 New_York,31.916666666666664,0
2024-12-09T00:00:00-05:00 New_York,30.958333333333336,0
2024-12-10T00:00:00-05:00 New_York,28.25,0
2024-12-11T00:00:00-05:00 New_York,28.958333333333336,0
2024-12-12T00:00:00-05:00 New_York,37,0
2024-12-13T00:00:00-05:00 New_York,42.79166666666667,0
2024-12-14T00:00:00-05:00 New_York,43.70833333333333,0
2024-12-15T00:00:00-05:00 New_York,38.75,0
2024-12-16T00:00:00-05:00 New_York,27.75,0
2024-12-17T00:00:00-05:00 New_York,27.291666666666664,0
2024-12-18T00:00:00-05:00 New_York,29.916666666666664,0
2024-12-19T00:00:00-05:00 New_York,32.833333333333336,0
2024-12-20T00:00:00-05:00 New_York,34.375,0
2024-12-21T00:00:00-05:00 New_York,40.70833333333333,0
2024-12-22T00:00:00-05:00 New_York,50.041666666666664,0
2024-12-23T00:00:00-05:00 New_York,44.20833333333333,0
2024-12-24T00:00:00-05:00 New_York,35.625,0
2024-12-25T00:00:00-05:00 New_York,38.45833333333333,0
2024-12-26T00:00:00-05:00 New_York,39,0
2024-12-27T00:00:00-05:00 New_York,36.625,0
2024-12-28T00:00:00-05:00 New_York,29.458333333333336,0
2024-12-29T00:00:00-05:00 New_York,26.125,0
2024-12-30T00:00:00-05:00 New_York,22.625,0
2024-12-31T00:00:00-05:00 New_York,31.75,0
